,application_number,sponsor_name,active_ingredient,brand_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code,submission_class_code_description
60215,NDA211801,ARDELYX INC,TENAPANOR HYDROCHLORIDE,IBSRELA,ORIG,1,AP,20190912,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60220,NDA211810,DAIICHI SANKYO INC,PEXIDARTINIB HYDROCHLORIDE,TURALIO,ORIG,1,AP,20190802,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60346,NDA212194,ALNYLAM PHARMS INC,GIVOSIRAN SODIUM,GIVLAARI,ORIG,1,AP,20191120,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60347,NDA212273,VERTEX PHARMS INC,"ELEXACAFTOR, IVACAFTOR, TEZACAFTOR",TRIKAFTA (COPACKAGED),ORIG,1,AP,20191021,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60352,NDA212306,KARYOPHARM THERAPS,SELINEXOR,XPOVIO,ORIG,1,AP,20190703,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60367,NDA020118,BAXTER HLTHCARE,DESFLURANE,SUPRANE,ORIG,1,AP,19920918,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60415,NDA212576,OTSUKA,CEDAZURIDINE,INQOVI,ORIG,1,AP,20200707,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60416,NDA212576,OTSUKA,DECITABINE,INQOVI,ORIG,1,AP,20200707,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60424,NDA020123,GE HEALTHCARE,GADODIAMIDE,OMNISCAN,ORIG,1,AP,19930108,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60448,NDA020136,MEDA PHARMS,TORSEMIDE,DEMADEX,ORIG,1,AP,19930823,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60550,NDA213246,LOXO ONCOL ELI LILLY,SELPERCATINIB,RETEVMO,ORIG,1,AP,20200508,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60556,NDA020169,CONCORDIA,NILUTAMIDE,NILANDRON,ORIG,1,AP,19960919,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60687,NDA213464,BAYER HEALTHCARE,NIFURTIMOX,LAMPIT,ORIG,1,AP,20200806,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60698,NDA020191,NOVARTIS,LODOXAMIDE TROMETHAMINE,ALOMIDE,ORIG,1,AP,19930923,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60763,NDA213721,GENENTECH INC,PRALSETINIB,GAVRETO,ORIG,1,AP,20200904,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
60768,NDA020256,LANTHEUS MEDCL,TECHNETIUM TC-99M BICISATE KIT,NEUROLITE,ORIG,1,AP,19941123,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60784,NDA020273,LEO PHARMA AS,CALCIPOTRIENE,DOVONEX,ORIG,1,AP,19931229,STANDARD,TYPE 1,Type 1 - New Molecular Entity
60837,BLA761052,BIOMARIN PHARM,CERLIPONASE ALFA,BRINEURA,ORIG,1,AP,20170427,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
61043,NDA020412,BRISTOL MYERS SQUIBB,STAVUDINE,ZERIT,ORIG,1,AP,19940624,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
61207,NDA020416,AMAG PHARMS INC,FERUMOXIDES,FERIDEX I.V.,ORIG,1,AP,19960830,STANDARD,TYPE 1,Type 1 - New Molecular Entity
61216,NDA020428,ALLERGAN,AZELAIC ACID,AZELEX,ORIG,1,AP,19950913,STANDARD,TYPE 1,Type 1 - New Molecular Entity
61233,NDA020451,CONCORDIA LABS INC,PORFIMER SODIUM,PHOTOFRIN,ORIG,1,AP,19951227,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
61268,NDA020532,STAND HOMEOPATH,BENTOQUATAM,IVY BLOCK,ORIG,1,AP,19960826,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
61278,NDA020533,FRESENIUS KABI USA,ROPIVACAINE HYDROCHLORIDE,NAROPIN,ORIG,1,AP,19960924,STANDARD,TYPE 1,Type 1 - New Molecular Entity
61635,NDA009435,FRESENIUS KABI USA,CHLOROPROCAINE HYDROCHLORIDE,NESACAINE-MPF,ORIG,1,AP,19550311,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
61828,NDA020571,PFIZER INC,IRINOTECAN HYDROCHLORIDE,CAMPTOSAR,ORIG,1,AP,19960614,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
61990,NDA020613,ALLERGAN,BRIMONIDINE TARTRATE,ALPHAGAN,ORIG,1,AP,19960906,STANDARD,TYPE 1,Type 1 - New Molecular Entity
62007,NDA020625,SANOFI AVENTIS US,FEXOFENADINE HYDROCHLORIDE,ALLEGRA,ORIG,1,AP,19960725,STANDARD,TYPE 1,Type 1 - New Molecular Entity
62017,NDA020646,CEPHALON,TIAGABINE HYDROCHLORIDE,GABITRIL,ORIG,1,AP,19970930,STANDARD,TYPE 1,Type 1 - New Molecular Entity
63844,NDA020696,PAR PHARM INC,FOMEPIZOLE,ANTIZOL,ORIG,1,AP,19971204,STANDARD,TYPE 1,Type 1 - New Molecular Entity
64494,NDA020815,LILLY,RALOXIFENE HYDROCHLORIDE,EVISTA,ORIG,1,AP,19971209,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
64522,NDA020825,PFIZER,ZIPRASIDONE HYDROCHLORIDE,GEODON,ORIG,1,AP,20010205,STANDARD,TYPE 1,Type 1 - New Molecular Entity
65192,NDA020896,HOFFMANN LA ROCHE,CAPECITABINE,XELODA,ORIG,1,AP,19980430,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
65295,NDA020922,AQUA PHARMS,MEQUINOL,SOLAGE,ORIG,1,AP,19991210,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
65299,NDA020922,AQUA PHARMS,TRETINOIN,SOLAGE,ORIG,1,AP,19991210,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
65310,NDA020931,PFIZER,DOFETILIDE,TIKOSYN,ORIG,1,AP,19991001,STANDARD,TYPE 1,Type 1 - New Molecular Entity
65604,NDA021038,HOSPIRA,DEXMEDETOMIDINE HYDROCHLORIDE,PRECEDEX,ORIG,1,AP,19991217,STANDARD,TYPE 1,Type 1 - New Molecular Entity
65882,NDA021119,VALEANT LUXEMBOURG,VERTEPORFIN,VISUDYNE,ORIG,1,AP,20000412,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
66036,NDA021197,EMD SERONO INC,CETRORELIX,CETROTIDE,ORIG,1,AP,20000811,STANDARD,TYPE 1,Type 1 - New Molecular Entity
66165,NDA005213,ENDO PHARMS,HOMATROPINE METHYLBROMIDE,HYCODAN,ORIG,1,AP,19430323,STANDARD,TYPE 1,Type 1 - New Molecular Entity
66179,NDA005213,ENDO PHARMS,HYDROCODONE BITARTRATE,HYCODAN,ORIG,1,AP,19430323,STANDARD,TYPE 1,Type 1 - New Molecular Entity
66393,NDA021332,ASTRAZENECA AB,PRAMLINTIDE ACETATE,SYMLIN,ORIG,1,AP,20050316,STANDARD,TYPE 1,Type 1 - New Molecular Entity
66447,NDA021341,GD SEARLE,VALDECOXIB,BEXTRA,ORIG,1,AP,20011116,STANDARD,TYPE 1,Type 1 - New Molecular Entity
66785,NDA021513,APIL,DARIFENACIN HYDROBROMIDE,ENABLEX,ORIG,1,AP,20041222,STANDARD,TYPE 1,Type 1 - New Molecular Entity
67835,NDA021667,EMMAUS MEDCL,GLUTAMINE,NUTRESTORE,ORIG,1,AP,20040610,STANDARD,TYPE 1,Type 1 - New Molecular Entity
67923,NDA021711,LANTHEUS MEDCL,GADOFOSVESET TRISODIUM,ABLAVAR,ORIG,1,AP,20081222,STANDARD,TYPE 1,Type 1 - New Molecular Entity
68006,NDA021829,UCB INC,ROTIGOTINE,NEUPRO,ORIG,1,AP,20070509,STANDARD,TYPE 1,Type 1 - New Molecular Entity
68156,NDA021884,INSMED,MECASERMIN RINFABATE RECOMBINANT,IPLEX,ORIG,1,AP,20051212,PRIORITY,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
68411,NDA022055,AQUA PHARMS LLC,RETAPAMULIN,ALTABAX,ORIG,1,AP,20070412,STANDARD,TYPE 1,Type 1 - New Molecular Entity
68520,NDA022081,GILEAD,AMBRISENTAN,LETAIRIS,ORIG,1,AP,20070615,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
68619,NDA022106,SHIONOGI INC,DORIPENEM,DORIBAX,ORIG,1,AP,20071012,STANDARD,TYPE 1,Type 1 - New Molecular Entity
68653,NDA022129,SHIONOGI INC,BENZYL ALCOHOL,ULESFIA,ORIG,1,AP,20090409,STANDARD,TYPE 1,Type 1 - New Molecular Entity
68681,NDA022181,BIOMARIN PHARM,SAPROPTERIN DIHYDROCHLORIDE,KUVAN,ORIG,1,AP,20071213,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
68881,NDA022256,CYPRESS BIOSCIENCE,MILNACIPRAN HYDROCHLORIDE,SAVELLA,ORIG,1,AP,20090114,STANDARD,TYPE 1,Type 1 - New Molecular Entity
69100,NDA022454,GE HLTHCARE INC,IOFLUPANE I-123,DATSCAN,ORIG,1,AP,20110114,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
69103,NDA022535,GENENTECH INC,PIRFENIDONE,ESBRIET,ORIG,1,AP,20141015,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
69280,NDA011210,PFIZER,BENZONATATE,TESSALON,ORIG,1,AP,19580210,STANDARD,TYPE 1,Type 1 - New Molecular Entity
69359,NDA011552,GLAXOSMITHKLINE,TRIFLUOPERAZINE HYDROCHLORIDE,STELAZINE,ORIG,1,AP,19590416,STANDARD,TYPE 1,Type 1 - New Molecular Entity
69403,NDA011556,NOVARTIS,SULFINPYRAZONE,ANTURANE,ORIG,1,AP,19590513,STANDARD,TYPE 1,Type 1 - New Molecular Entity
69970,NDA011836,SANOFI AVENTIS US,IMIPRAMINE HYDROCHLORIDE,PRESAMINE,ORIG,1,AP,19590416,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
70093,NDA050573,NOVARTIS,CYCLOSPORINE,SANDIMMUNE,ORIG,1,AP,19831114,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
70130,NDA050577,TEVA PHARMS USA,STREPTOZOCIN,ZANOSAR,ORIG,1,AP,19820507,STANDARD,TYPE 1,Type 1 - New Molecular Entity
70159,NDA050621,LEDERLE,CEFIXIME,SUPRAX,ORIG,1,AP,19890428,STANDARD,TYPE 1,Type 1 - New Molecular Entity
70284,NDA050637,PHARMACIA AND UPJOHN,CEFMETAZOLE SODIUM,ZEFAZONE,ORIG,1,AP,19891211,STANDARD,TYPE 1,Type 1 - New Molecular Entity
70699,NDA012003,ABBVIE,BIPERIDEN HYDROCHLORIDE,AKINETON,ORIG,1,AP,19590908,STANDARD,TYPE 1,Type 1 - New Molecular Entity
70714,NDA012034,SCHERING,FLUPHENAZINE HYDROCHLORIDE,PERMITIL,ORIG,1,AP,19590909,STANDARD,TYPE 1,Type 1 - New Molecular Entity
70735,NDA005970,ELKINS SINN,SODIUM TETRADECYL SULFATE,SOTRADECOL,ORIG,1,AP,19460813,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
70766,NDA012382,WEST-WARD PHARMS INT,PROPIOMAZINE HYDROCHLORIDE,LARGON,ORIG,1,AP,19601205,STANDARD,TYPE 1,Type 1 - New Molecular Entity
70781,NDA012649,MERCK,CYPROHEPTADINE HYDROCHLORIDE,PERIACTIN,ORIG,1,AP,19611017,STANDARD,TYPE 1,Type 1 - New Molecular Entity
71421,NDA014691,APOTEX INC,MELPHALAN,ALKERAN,ORIG,1,AP,19640117,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
71471,NDA014763,ASTRAZENECA,PRILOCAINE HYDROCHLORIDE,CITANEST PLAIN,ORIG,1,AP,19651118,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
71531,NDA014763,ASTRAZENECA,EPINEPHRINE BITARTRATE,CITANEST FORTE,ORIG,1,AP,19651118,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
71593,NDA015197,CLOVER PHARMS,AMINOCAPROIC ACID,AMICAR,ORIG,1,AP,19640603,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
71782,NDA016211,NOVARTIS,ACETYLCHOLINE CHLORIDE,MIOCHOL,ORIG,1,AP,19731009,STANDARD,TYPE 1,Type 1 - New Molecular Entity
71940,NDA016402,BOEHRINGER INGELHEIM,METAPROTERENOL SULFATE,ALUPENT,ORIG,1,AP,19730731,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
72115,NDA006412,SANOFI AVENTIS US,DOXYLAMINE SUCCINATE,DECAPRYN,ORIG,1,AP,19480407,STANDARD,TYPE 1,Type 1 - New Molecular Entity
72174,NDA016908,CNTY LINE PHARMS,FLUOCINONIDE,LIDEX,ORIG,1,AP,19710630,STANDARD,TYPE 1,Type 1 - New Molecular Entity
72286,NDA016996,SCHERING,DIAZOXIDE,HYPERSTAT,ORIG,1,AP,19730122,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
72324,NDA017001,VALEANT,FLUCYTOSINE,ANCOBON,ORIG,1,AP,19711126,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
72899,NDA017047,BRACCO,SELENOMETHIONINE SE-75,SETHOTOPE,ORIG,1,AP,19730507,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
73133,NDA017376,MONARCH PHARMS,SULFAMETHOXAZOLE,SEPTRA,ORIG,1,AP,19730730,PRIORITY,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
73186,NDA017376,MONARCH PHARMS,TRIMETHOPRIM,SEPTRA,ORIG,1,AP,19730730,PRIORITY,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
74025,NDA017473,TEVA,PIMOZIDE,ORAP,ORIG,1,AP,19840731,STANDARD,TYPE 1,Type 1 - New Molecular Entity
83316,NDA017707,GE HEALTHCARE,INDIUM IN-111 PENTETATE DISODIUM,MPI INDIUM DTPA IN 111,ORIG,1,AP,19820218,STANDARD,TYPE 1,Type 1 - New Molecular Entity
83603,NDA017911,MERCK,SULINDAC,CLINORIL,ORIG,1,AP,19780927,STANDARD,TYPE 1,Type 1 - New Molecular Entity
83919,NDA018067,LILLY,CINOXACIN,CINOBAC,ORIG,1,AP,19800613,STANDARD,TYPE 1,Type 1 - New Molecular Entity
84115,NDA018163,MALLINCKRODT INC,TEMAZEPAM,RESTORIL,ORIG,1,AP,19810227,STANDARD,TYPE 1,Type 1 - New Molecular Entity
84417,NDA018276,PHARMACIA AND UPJOHN,ALPRAZOLAM,XANAX,ORIG,1,AP,19811016,STANDARD,TYPE 1,Type 1 - New Molecular Entity
85138,NDA018422,PFIZER PHARMS,GEMFIBROZIL,LOPID,ORIG,1,AP,19811221,STANDARD,TYPE 1,Type 1 - New Molecular Entity
85320,NDA018445,MERCK,DIFLUNISAL,DOLOBID,ORIG,1,AP,19820419,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
85407,NDA018484,PHARMACIA AND UPJOHN,ALPROSTADIL,PROSTIN VR PEDIATRIC,ORIG,1,AP,19811016,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
85436,NDA018536,MALLINCKRODT,XENON XE-127,XENON XE 127,ORIG,1,AP,19821001,STANDARD,TYPE 1,Type 1 - New Molecular Entity
85712,NDA018677,MEDA PHARMS,NABILONE,CESAMET,ORIG,1,AP,19851226,STANDARD,TYPE 1,Type 1 - New Molecular Entity
85816,NDA018686,SCHERING,LABETALOL HYDROCHLORIDE,NORMODYNE,ORIG,1,AP,19840801,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
85877,NDA018708,CUTIS HEALTH LLC,QUAZEPAM,DORAL,ORIG,1,AP,19851227,STANDARD,TYPE 1,Type 1 - New Molecular Entity
85938,NDA018749,MISSION PHARMA,ACETOHYDROXAMIC ACID,LITHOSTAT,ORIG,1,AP,19830531,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
85944,NDA018757,MISSION PHARMA,CELLULOSE SODIUM PHOSPHATE,CALCIBIND,ORIG,1,AP,19821228,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
86106,NDA018841,GD SEARLE,OXAPROZIN,DAYPRO,ORIG,1,AP,19921029,STANDARD,TYPE 1,Type 1 - New Molecular Entity
86156,BLA103000,ALLERGAN,OnabotulinumtoxinA,BOTOX COSMETIC,ORIG,1,AP,19911209,UNKNOWN,TYPE 1,Type 1 - New Molecular Entity
86369,BLA103608,CYTOGEN,CAPROMAB PENDETIDE,PROSTASCINT,ORIG,1,AP,19961028,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
86372,BLA103767,EISAI INC,DENILEUKIN DIFTITOX,ONTAK,ORIG,1,AP,19990205,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
86386,BLA125118,BRISTOL MYERS SQUIBB,ABATACEPT,ORENCIA,ORIG,1,AP,20051223,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
86414,BLA125469,ELI LILLY AND CO,DULAGLUTIDE,TRULICITY,ORIG,1,AP,20140918,STANDARD,TYPE 1,Type 1 - New Molecular Entity
86441,NDA008565,WYETH AYERST,SULFAMETHIZOLE,THIOSULFIL,ORIG,1,AP,19531028,STANDARD,TYPE 1,Type 1 - New Molecular Entity
86831,NDA200796,ARBOR PHARMS LLC,AZILSARTAN KAMEDOXOMIL,EDARBI,ORIG,1,AP,20110225,STANDARD,TYPE 1,Type 1 - New Molecular Entity
86903,NDA201023,SANOFI AVENTIS US,CABAZITAXEL,JEVTANA KIT,ORIG,1,AP,20100617,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
87502,NDA018936,ELI LILLY AND CO,FLUOXETINE HYDROCHLORIDE,SARAFEM,ORIG,1,AP,19871229,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
87976,NDA018948,SIGMA TAU,LEVOCARNITINE,CARNITOR,ORIG,1,AP,19851227,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
88009,NDA202022,JANSSEN PRODS,RILPIVIRINE HYDROCHLORIDE,EDURANT,ORIG,1,AP,20110520,STANDARD,TYPE 1,Type 1 - New Molecular Entity
88292,NDA202611,APGDI,MIRABEGRON,MYRBETRIQ,ORIG,1,AP,20120628,STANDARD,TYPE 1,Type 1 - New Molecular Entity
88348,NDA202806,NOVARTIS,DABRAFENIB MESYLATE,TAFINLAR,ORIG,1,AP,20130529,STANDARD,TYPE 1,Type 1 - New Molecular Entity
88367,NDA008732,SHIRE,PROPANTHELINE BROMIDE,PRO-BANTHINE,ORIG,1,AP,19530402,STANDARD,TYPE 1,Type 1 - New Molecular Entity
88409,NDA203214,PF PRISM CV,TOFACITINIB CITRATE,XELJANZ,ORIG,1,AP,20121106,STANDARD,TYPE 1,Type 1 - New Molecular Entity
88454,NDA203568,KASTLE THERAPS LLC,MIPOMERSEN SODIUM,KYNAMRO,ORIG,1,AP,20130129,STANDARD,TYPE 1,Type 1 - New Molecular Entity
88497,NDA019194,ATON,TRIENTINE HYDROCHLORIDE,SYPRINE,ORIG,1,AP,19851108,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
88617,NDA204569,MERCK SHARP DOHME,SUVOREXANT,BELSOMRA,ORIG,1,AP,20140813,STANDARD,TYPE 1,Type 1 - New Molecular Entity
89529,NDA204958,CHIESI USA INC,CANGRELOR,KENGREAL,ORIG,1,AP,20150622,STANDARD,TYPE 1,Type 1 - New Molecular Entity
89584,NDA205123,JANSSEN PRODS,SIMEPREVIR SODIUM,OLYSIO,ORIG,1,AP,20131122,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
89591,NDA019435,GLAXOSMITHKLINE,PERMETHRIN,NIX,ORIG,1,AP,19860331,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
89767,NDA205677,VANDA PHARMS INC,TASIMELTEON,HETLIOZ,ORIG,1,AP,20140131,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
89815,NDA206038,VERTEX PHARMS INC,LUMACAFTOR,ORKAMBI,ORIG,1,AP,20150702,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
89844,NDA008883,APOTHECON,PROPARACAINE HYDROCHLORIDE,OPHTHAINE,ORIG,1,AP,19530701,STANDARD,TYPE 1,Type 1 - New Molecular Entity
90005,NDA008943,TEVA BRANDED PHARM,ACETAZOLAMIDE,DIAMOX,ORIG,1,AP,19530727,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
90227,NDA207988,IRONWOOD PHARMS INC,LESINURAD,ZURAMPIC,ORIG,1,AP,20151222,STANDARD,TYPE 1,Type 1 - New Molecular Entity
90248,NDA208051,PUMA BIOTECH,NERATINIB MALEATE,NERLYNX,ORIG,1,AP,20170717,STANDARD,TYPE 1,Type 1 - New Molecular Entity
90257,NDA208169,WELLSTAT THERAP,URIDINE TRIACETATE,XURIDEN,ORIG,1,AP,20150904,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
90309,NDA019763,BAXTER HLTHCARE,IFOSFAMIDE,IFEX/MESNEX KIT,ORIG,1,AP,19870814,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
90324,NDA019763,BAXTER HLTHCARE,MESNA,IFEX/MESNEX KIT,ORIG,1,AP,19870814,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91143,NDA209092,NOVARTIS,RIBOCICLIB SUCCINATE,KISQALI,ORIG,1,AP,20170313,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91183,NDA209360,LA JOLLA PHARMA,ANGIOTENSIN II ACETATE,GIAPREZA,ORIG,1,AP,20171221,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91224,NDA019879,SANOFI AVENTIS US,EFLORNITHINE HYDROCHLORIDE,ORNIDYL,ORIG,1,AP,19901128,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91242,NDA019915,BRISTOL MYERS SQUIBB,FOSINOPRIL SODIUM,MONOPRIL,ORIG,1,AP,19910516,STANDARD,TYPE 1,Type 1 - New Molecular Entity
91358,NDA210493,HELSINN HLTHCARE,FOSNETUPITANT CHLORIDE HYDROCHLORIDE,AKYNZEO,ORIG,1,AP,20180419,STANDARD,TYPE 1,Type 1 - New Molecular Entity
91547,NDA019968,RANBAXY,HALOBETASOL PROPIONATE,ULTRAVATE,ORIG,1,AP,19901217,STANDARD,TYPE 1,Type 1 - New Molecular Entity
91578,NDA211150,HARMONY,PITOLISANT HYDROCHLORIDE,WAKIX,ORIG,1,AP,20190814,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91636,NDA020007,NOVARTIS PHARMS CORP,ONDANSETRON HYDROCHLORIDE,ZOFRAN,ORIG,1,AP,19910104,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91717,NDA211349,ASTELLAS,GILTERITINIB FUMARATE,XOSPATA,ORIG,1,AP,20181128,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91718,NDA211723,EPIZYME INC,TAZEMETOSTAT HYDROBROMIDE,TAZVERIK,ORIG,1,AP,20200123,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91779,NDA211765,ALLERGAN,UBROGEPANT,UBRELVY,ORIG,1,AP,20191223,STANDARD,TYPE 1,Type 1 - New Molecular Entity
91801,NDA020080,GLAXOSMITHKLINE,SUMATRIPTAN SUCCINATE,IMITREX STATDOSE,ORIG,1,AP,19921228,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
91977,NDA212295,ACACIA,REMIMAZOLAM BESYLATE,BYFAVO,ORIG,1,AP,20200702,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
91993,NDA020098,ABBVIE,MIVACURIUM CHLORIDE,MIVACRON,ORIG,1,AP,19920122,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
92063,NDA212320,SHIELD TX,FERRIC MALTOL,ACCRUFER,ORIG,1,AP,20190725,STANDARD,TYPE 1,Type 1 - New Molecular Entity
92164,NDA212725,GENENTECH INC,ENTRECTINIB,ROZLYTREK,ORIG,1,AP,20190815,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
92172,NDA020134,GE HEALTHCARE,STRONTIUM CHLORIDE SR-89,METASTRON,ORIG,1,AP,19930618,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
92740,NDA020180,MERCK,FINASTERIDE,PROSCAR,ORIG,1,AP,19920619,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
92752,NDA213535,GENENTECH INC,RISDIPLAM,EVRYSDI,ORIG,1,AP,20200807,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
92753,NDA213687,ULTRAGENYX PHARM INC,TRIHEPTANOIN,DOJOLVI,ORIG,1,AP,20200630,STANDARD,TYPE 1,Type 1 - New Molecular Entity
92856,NDA020241,GLAXOSMITHKLINE LLC,LAMOTRIGINE,LAMICTAL,ORIG,1,AP,19941227,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
93139,NDA020304,BAYER HLTHCARE,APROTININ,TRASYLOL,ORIG,1,AP,19931229,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
93161,NDA345345,PKS Corp,Test,Test Drug for Preprod Database,ORIG,1,AP,20171204,STANDARD,TYPE 1,Type 1 - New Molecular Entity
93174,NDA020316,GUERBET,IOXILAN,OXILAN-350,ORIG,1,AP,19951221,STANDARD,TYPE 1,Type 1 - New Molecular Entity
93203,NDA020326,MEDIMMUNE ONCOLOGY,TRIMETREXATE GLUCURONATE,NEUTREXIN,ORIG,1,AP,19931217,,TYPE 1,Type 1 - New Molecular Entity
94112,NDA020450,PARKE DAVIS,FOSPHENYTOIN SODIUM,CEREBYX,ORIG,1,AP,19960805,STANDARD,TYPE 1,Type 1 - New Molecular Entity
94155,NDA020471,CHIESI,ZILEUTON,ZYFLO,ORIG,1,AP,19961209,STANDARD,TYPE 1,Type 1 - New Molecular Entity
94278,NDA020524,MYLAN,BUTENAFINE HYDROCHLORIDE,MENTAX,ORIG,1,AP,19961018,STANDARD,TYPE 1,Type 1 - New Molecular Entity
94313,NDA020564,VIIV HLTHCARE,LAMIVUDINE,EPIVIR,ORIG,20,AP,20041122,,TYPE 1,Type 1 - New Molecular Entity
94441,NDA020632,ABBOTT,SIBUTRAMINE HYDROCHLORIDE,MERIDIA,ORIG,1,AP,19971122,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95086,NDA020738,ABBVIE,EPROSARTAN MESYLATE,TEVETEN,ORIG,1,AP,19971222,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95138,NDA020753,PHARMACIA AND UPJOHN,EXEMESTANE,AROMASIN,ORIG,1,AP,19991021,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95157,NDA020759,PFIZER,TROVAFLOXACIN MESYLATE,TROVAN,ORIG,1,AP,19971218,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95235,NDA020816,NOVARTIS,BRINZOLAMIDE,AZOPT,ORIG,1,AP,19980401,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95366,NDA020838,ASTRAZENECA,CANDESARTAN CILEXETIL,ATACAND,ORIG,1,AP,19980604,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95485,NDA020862,GENZYME CORP,DOXERCALCIFEROL,HECTOROL,ORIG,1,AP,19990609,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95540,NDA020864,MERCK,RIZATRIPTAN BENZOATE,MAXALT,ORIG,1,AP,19980629,STANDARD,TYPE 1,Type 1 - New Molecular Entity
95722,NDA020886,EISAI INC,ALITRETINOIN,PANRETIN,ORIG,1,AP,19990202,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
